10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.dll (Lucene.Net, The Apache Software Foundation Lucene.Net a full-text search engine library, 3.0.3)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.agent.intercept.dll (Microsoft.AI.Agent.Intercept)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.dependencycollector.dll ()
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.perfcountercollector.dll ()
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.servertelemetrychannel.dll ()
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.web.dll (Application Insights .NET SDK, Application Insights for Web Applications)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.windowsserver.dll ()
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.applicationinsights.dll ()
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.aspnet.friendlyurls.dll (Microsoft ASP.NET Friendly URLs, Microsoft.AspNet.FriendlyUrls.dll, 1.0.2)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.aspnet.web.optimization.webforms.dll (Microsoft.AspNet.Web.Optimization.WebForms, A WebForms control for Microsoft.AspNet.Web.Optimization, 1.1.0)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.codedom.providers.dotnetcompilerplatform.dll (Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 1.0.0-20615)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.practices.servicelocation.dll (Microsoft.Practices.ServiceLocation, A simple facade that provides insulation from specific IoC containers)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.scriptmanager.msajax.dll (Microsoft ASP.NET)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.scriptmanager.webforms.dll (Microsoft ASP.NET)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.web.infrastructure.dll (Microsoft ASP.Net WebPages)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\mongodb.bson.dll (MongoDB.Bson, Official 10gen supported C# BSON library. See http://www.mongodb.org/display/DOCS/CSharp+Language+Center for more details, {version: '1.8.3.9', semver: '1.8.3', commit: '28c1204b9d0e70ca2648a6f90f9a29035e7ad62c', commit_date: '2013-09-30 12:07:25'})
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\mongodb.driver.dll (MongoDB.Driver, Official 10gen supported C# driver for MongoDB.  See http://www.mongodb.org/display/DOCS/CSharp+Language+Center for more details, {version: '1.8.3.9', semver: '1.8.3', commit: '28c1204b9d0e70ca2648a6f90f9a29035e7ad62c', commit_date: '2013-09-30 12:07:25'})
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\mvp.xml.dll (MVP XML Library)
